Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps
Buenos Aires,1474617.84,2717316.0,56100576.36,10882250.0,13569037.28,8527452.92,62074136.84
Capital Federal,32570.16,766656.0,17492762.64,5340426.0,6714830.72,3828140.08,24292135.16
Catamarca,1868.0,109095.0,454767.0,234849.0,197667.0,40107.0,722764.0
Chaco,10216.0,170544.0,1322964.0,786964.0,619623.0,308810.0,1360498.0
Chubut,21567.0,121288.0,2807518.0,583749.0,421972.0,204854.0,271599.0
Corrientes,1764.0,239380.0,1509533.0,879415.0,549666.0,243052.0,1123011.0
Córdoba,11672.0,1221771.0,11337099.0,3916027.0,4055746.0,1866530.0,10973698.0
Entre Ríos,39790.0,424272.0,3322095.0,1811623.0,992652.0,489000.0,1898699.0
Formosa,40017.0,114191.0,817568.0,278694.0,224344.0,34903.0,302664.0
Jujuy,24961.0,170199.0,993789.0,395526.0,742991.0,8147.0,697658.0
La Pampa,48430.0,214698.0,2445830.0,238786.0,198400.0,83206.0,327618.0
La Rioja,579.0,63366.0,754368.0,151756.0,404298.0,66333.0,674354.0
Mendoza,4950.0,45504.0,5694803.0,358750.0,840670.0,184433.0,1828780.0
Misiones,16570.0,208115.0,1779033.0,891213.0,706778.0,341776.0,1377710.0
Neuquén,39410.0,63836.0,2594691.0,235809.0,477696.0,233858.0,1371661.0
Río Negro,40674.0,119182.0,2867548.0,226168.0,510222.0,277001.0,881937.0
Salta,15508.0,190755.0,2095683.0,1837478.0,423236.0,153836.0,1389365.0
San Juan,895.0,36069.0,2036635.0,145522.0,252262.0,48168.0,251539.0
San Luis,1951.0,6795.0,526162.0,414159.0,141677.0,1407067.0,150902.0
Santa Cruz,3929.0,55090.0,987136.0,184636.0,169604.0,50645.0,85095.0
Santa Fe,107502.0,1316289.0,10035547.0,5461323.0,3517658.0,1518553.0,7210977.0
Santiago Del Estero,10969.0,140324.0,1248819.0,1375228.0,328107.0,25969.0,227019.0
Tierra Del Fuego,609.0,14554.0,1077984.0,217868.0,247826.0,67557.0,40714.0
Tucumán,2298.0,334968.0,2469623.0,1560291.0,831366.0,81932.0,2675231.0
